2019-06-27 11:20:17,860 INFO osmnx Configured osmnx
2019-06-27 11:20:22,444 INFO osmnx Converting node and edge attribute data types
2019-06-27 11:20:22,520 INFO osmnx Loaded graph with 1,389 nodes and 3,900 edges in 0.28 seconds from "outputs/soho.graphml"
2019-06-27 11:20:23,666 INFO osmnx Begin plotting the graph...
2019-06-27 11:20:23,791 INFO osmnx Created GeoDataFrame "unnamed_edges" from graph in 0.12 seconds
2019-06-27 11:20:23,998 INFO osmnx Drew the graph edges in 0.07 seconds
2019-06-27 11:20:24,268 INFO osmnx Showed the plot in 0.21 seconds
2019-06-27 11:20:43,128 INFO osmnx Found nearest node (4731047383) to point (51.512671999999995, -0.13597599999999999) in 0.01 seconds
2019-06-27 11:20:43,135 INFO osmnx Found nearest node (4731047383) to point (51.512727000000005, -0.136033) in 0.01 seconds
2019-06-27 11:20:43,141 INFO osmnx Found nearest node (4731047383) to point (51.512794, -0.136115) in 0.01 seconds
2019-06-27 11:20:43,148 INFO osmnx Found nearest node (25473408) to point (51.512846, -0.13618) in 0.01 seconds
2019-06-27 11:20:43,154 INFO osmnx Found nearest node (25473408) to point (51.512879, -0.13608299999999998) in 0.01 seconds
2019-06-27 11:20:43,160 INFO osmnx Found nearest node (25473408) to point (51.512939, -0.136139) in 0.01 seconds
2019-06-27 11:20:43,167 INFO osmnx Found nearest node (4730390165) to point (51.512765, -0.135329) in 0.01 seconds
2019-06-27 11:20:43,174 INFO osmnx Found nearest node (1330788629) to point (51.512844, -0.135122) in 0.01 seconds
2019-06-27 11:20:43,180 INFO osmnx Found nearest node (4730390156) to point (51.512532, -0.13464500000000001) in 0.01 seconds
2019-06-27 11:20:43,186 INFO osmnx Found nearest node (6065422037) to point (51.512198, -0.134522) in 0.01 seconds
2019-06-27 11:20:43,193 INFO osmnx Found nearest node (1493424644) to point (51.512215000000005, -0.134967) in 0.01 seconds
2019-06-27 11:20:43,199 INFO osmnx Found nearest node (1330788578) to point (51.513154, -0.135098) in 0.01 seconds
2019-06-27 11:20:43,206 INFO osmnx Found nearest node (772092173) to point (51.513056, -0.134394) in 0.01 seconds
2019-06-27 11:20:43,212 INFO osmnx Found nearest node (772092173) to point (51.513165, -0.13450499999999999) in 0.01 seconds
2019-06-27 11:20:43,219 INFO osmnx Found nearest node (772092173) to point (51.513098, -0.134437) in 0.01 seconds
2019-06-27 11:20:43,225 INFO osmnx Found nearest node (772092173) to point (51.513238, -0.13459400000000002) in 0.01 seconds
2019-06-27 11:20:43,232 INFO osmnx Found nearest node (25502540) to point (51.513293, -0.13464) in 0.01 seconds
2019-06-27 11:20:43,238 INFO osmnx Found nearest node (25502540) to point (51.513379, -0.134709) in 0.01 seconds
2019-06-27 11:20:43,245 INFO osmnx Found nearest node (26845547) to point (51.513431, -0.134756) in 0.01 seconds
2019-06-27 11:20:43,251 INFO osmnx Found nearest node (26845546) to point (51.513475, -0.135244) in 0.01 seconds
2019-06-27 11:20:43,258 INFO osmnx Found nearest node (26845547) to point (51.513422, -0.134897) in 0.01 seconds
2019-06-27 11:20:43,264 INFO osmnx Found nearest node (26845546) to point (51.513528, -0.135158) in 0.01 seconds
2019-06-27 11:20:43,270 INFO osmnx Found nearest node (26845546) to point (51.513481, -0.135344) in 0.01 seconds
2019-06-27 11:20:43,277 INFO osmnx Found nearest node (26845547) to point (51.513594, -0.13506300000000002) in 0.01 seconds
2019-06-27 11:20:43,283 INFO osmnx Found nearest node (25473409) to point (51.513227, -0.135801) in 0.01 seconds
2019-06-27 11:20:43,289 INFO osmnx Found nearest node (25473409) to point (51.51318, -0.135762) in 0.01 seconds
2019-06-27 11:20:43,296 INFO osmnx Found nearest node (25473409) to point (51.513132, -0.13574) in 0.01 seconds
2019-06-27 11:20:43,302 INFO osmnx Found nearest node (25473409) to point (51.513048, -0.13564500000000002) in 0.01 seconds
2019-06-27 11:20:43,309 INFO osmnx Found nearest node (25473409) to point (51.513006, -0.135602) in 0.01 seconds
2019-06-27 11:20:43,315 INFO osmnx Found nearest node (1330788638) to point (51.512883, -0.135501) in 0.01 seconds
2019-06-27 11:20:43,321 INFO osmnx Found nearest node (25473409) to point (51.51327, -0.13583199999999998) in 0.01 seconds
2019-06-27 11:20:43,327 INFO osmnx Found nearest node (21666010) to point (51.513459000000005, -0.136049) in 0.01 seconds
2019-06-27 11:20:43,334 INFO osmnx Found nearest node (108073) to point (51.513431, -0.13614) in 0.01 seconds
2019-06-27 11:20:43,340 INFO osmnx Found nearest node (108073) to point (51.513402, -0.136228) in 0.01 seconds
2019-06-27 11:20:43,347 INFO osmnx Found nearest node (4730390419) to point (51.512593, -0.134999) in 0.01 seconds
2019-06-27 11:20:43,354 INFO osmnx Found nearest node (4730390416) to point (51.512584999999994, -0.134793) in 0.01 seconds
2019-06-27 11:20:43,360 INFO osmnx Found nearest node (4730390419) to point (51.512555, -0.13489600000000002) in 0.01 seconds
2019-06-27 11:20:43,367 INFO osmnx Found nearest node (4730390419) to point (51.512521, -0.135) in 0.01 seconds
2019-06-27 11:20:43,373 INFO osmnx Found nearest node (5453319327) to point (51.513137, -0.133483) in 0.01 seconds
2019-06-27 11:20:43,379 INFO osmnx Found nearest node (25502552) to point (51.513228000000005, -0.13326500000000002) in 0.01 seconds
2019-06-27 11:20:43,386 INFO osmnx Found nearest node (5453319327) to point (51.513152000000005, -0.133296) in 0.01 seconds
2019-06-27 11:20:43,392 INFO osmnx Found nearest node (25502552) to point (51.513258, -0.132933) in 0.01 seconds
2019-06-27 11:20:43,399 INFO osmnx Found nearest node (25502540) to point (51.513544, -0.133998) in 0.01 seconds
2019-06-27 11:20:43,405 INFO osmnx Found nearest node (25502540) to point (51.513626, -0.134042) in 0.01 seconds
2019-06-27 11:20:43,411 INFO osmnx Found nearest node (25502540) to point (51.513637, -0.134156) in 0.01 seconds
2019-06-27 11:20:43,418 INFO osmnx Found nearest node (25502540) to point (51.513524, -0.13409100000000002) in 0.01 seconds
2019-06-27 11:20:43,424 INFO osmnx Found nearest node (26845551) to point (51.51382, -0.134272) in 0.01 seconds
2019-06-27 11:20:43,431 INFO osmnx Found nearest node (26845551) to point (51.513723999999996, -0.13422) in 0.01 seconds
2019-06-27 11:20:43,437 INFO osmnx Found nearest node (26845547) to point (51.513704, -0.134704) in 0.01 seconds
2019-06-27 11:20:43,444 INFO osmnx Found nearest node (25502541) to point (51.513831, -0.13478199999999999) in 0.01 seconds
2019-06-27 11:20:43,450 INFO osmnx Found nearest node (9512930) to point (51.513915000000004, -0.13501) in 0.01 seconds
2019-06-27 11:20:43,457 INFO osmnx Found nearest node (26845547) to point (51.513597, -0.13492300000000002) in 0.01 seconds
2019-06-27 11:20:43,463 INFO osmnx Found nearest node (25502541) to point (51.514032, -0.13488499999999998) in 0.01 seconds
2019-06-27 11:20:43,469 INFO osmnx Found nearest node (26845551) to point (51.513891, -0.134212) in 0.01 seconds
2019-06-27 11:20:43,476 INFO osmnx Found nearest node (26845551) to point (51.513758, -0.134135) in 0.01 seconds
2019-06-27 11:20:43,482 INFO osmnx Found nearest node (9512926) to point (51.514065, -0.134364) in 0.01 seconds
2019-06-27 11:20:43,489 INFO osmnx Found nearest node (9512926) to point (51.514146000000004, -0.134447) in 0.01 seconds
2019-06-27 11:20:43,495 INFO osmnx Found nearest node (25501063) to point (51.514201, -0.134479) in 0.01 seconds
2019-06-27 11:20:43,501 INFO osmnx Found nearest node (25501063) to point (51.51423, -0.134658) in 0.01 seconds
2019-06-27 11:20:43,508 INFO osmnx Found nearest node (26845553) to point (51.514319, -0.13436700000000001) in 0.01 seconds
2019-06-27 11:20:43,515 INFO osmnx Found nearest node (26845553) to point (51.514377, -0.134179) in 0.01 seconds
